log_id,supplier_id,po_id,lead_time_days,on_time_flag,logged_at
66,1,163,,false,27-12-2024 00:00:00
67,9,164,13,True,21-07-2025 00:00:00
68,1,165,50,0,18-03-2026 00:00:00
69,2,167,8,1,07-02-2024 00:00:00
70,5,168,15,,10-02-2026 00:00:00
71,9,170,25,FALSE,31-03-2026 00:00:00
72,6,172,15,FALSE,21-03-2025 00:00:00
73,8,175,39,TRUE,10-08-2025 00:00:00
74,2,178,21,,09-07-2025 00:00:00
75,3,180,40,TRUE,29-03-2024 00:00:00
76,3,183,24,1,17-06-2024 00:00:00
77,3,185,21,1,05-11-2025 00:00:00
78,5,187,36,TRUE,07-09-2024 00:00:00
79,9,191,7,TRUE,25-05-2025 00:00:00
80,9,193,,True,17-05-2026 00:00:00
81,4,194,20,True,20-07-2025 00:00:00
82,9,203,17,1,27-04-2025 00:00:00
83,10,205,17,false,15-07-2024 00:00:00
84,6,207,28,0,24-10-2024 00:00:00
85,4,211,30,TRUE,26-01-2026 00:00:00
86,2,222,18,1,01-04-2025 00:00:00
87,8,223,5,FALSE,10-01-2026 00:00:00
88,7,228,6,,23-02-2026 00:00:00
89,6,230,1,True,04-09-2025 00:00:00
90,6,238,56,1,24-09-2024 00:00:00
91,4,239,6,0,16-11-2024 00:00:00
92,5,240,10,TRUE,19-07-2024 00:00:00
93,5,245,8,,29-05-2025 00:00:00
94,10,247,41,0,14-12-2025 00:00:00
95,9,250,10,TRUE,04-11-2025 00:00:00
96,2,251,17,True,15-06-2024 00:00:00
97,9,252,7,0,24-02-2024 00:00:00
98,2,255,40,1,06-06-2024 00:00:00
99,6,256,,TRUE,14-04-2024 00:00:00
100,2,259,36,FALSE,21-03-2025 00:00:00
101,6,262,28,FALSE,11-02-2025 00:00:00
102,8,264,45,false,24-03-2025 00:00:00
103,1,267,59,0,19-12-2025 00:00:00
104,5,271,59,TRUE,28-03-2024 00:00:00
105,8,272,46,,24-03-2025 00:00:00
106,6,273,31,,24-11-2025 00:00:00
107,4,274,17,TRUE,06-10-2025 00:00:00
108,10,275,46,0,02-02-2025 00:00:00
109,6,277,54,FALSE,01-02-2025 00:00:00
110,3,281,13,True,14-04-2026 00:00:00
111,2,282,21,TRUE,01-02-2024 00:00:00
112,10,286,14,0,31-05-2026 00:00:00
113,1,287,20,1,25-12-2024 00:00:00
114,6,292,41,True,14-08-2025 00:00:00
115,3,294,32,True,11-06-2024 00:00:00
116,3,295,46,0,09-02-2025 00:00:00
117,9,302,53,FALSE,05-06-2025 00:00:00
118,7,306,41,TRUE,25-03-2024 00:00:00
119,4,307,55,false,03-07-2025 00:00:00
120,1,309,1,True,19-12-2025 00:00:00
121,1,313,5,false,07-01-2025 00:00:00
122,10,316,36,TRUE,20-04-2025 00:00:00
123,3,317,51,FALSE,23-02-2025 00:00:00
124,1,319,28,FALSE,15-05-2026 00:00:00
125,8,323,7,false,19-04-2025 00:00:00
126,6,324,6,false,03-04-2024 00:00:00
127,10,327,39,false,12-04-2026 00:00:00
128,1,328,59,TRUE,21-02-2024 00:00:00
129,8,333,11,0,01-01-2025 00:00:00
130,10,334,11,,29-12-2024 00:00:00
131,1,335,42,FALSE,04-08-2025 00:00:00
132,1,336,14,1,08-09-2025 00:00:00
133,10,338,26,false,10-12-2024 00:00:00
134,3,339,,True,11-12-2025 00:00:00
135,3,341,17,FALSE,21-11-2024 00:00:00
136,6,342,4,0,20-06-2024 00:00:00
137,1,343,56,false,02-08-2024 00:00:00
138,7,344,16,false,22-01-2025 00:00:00
139,3,345,4,,16-03-2024 00:00:00
140,9,351,19,TRUE,08-07-2024 00:00:00
141,3,356,14,false,21-09-2024 00:00:00
142,5,357,40,false,14-04-2025 00:00:00
143,4,361,21,True,02-02-2026 00:00:00
144,1,365,4,false,16-07-2024 00:00:00
145,9,372,55,FALSE,15-09-2025 00:00:00
146,5,373,20,1,02-11-2025 00:00:00
147,8,378,40,0,06-06-2026 00:00:00
148,6,380,40,TRUE,08-03-2026 00:00:00
149,4,381,41,FALSE,13-08-2025 00:00:00
150,8,382,49,True,05-01-2024 00:00:00
151,1,383,50,TRUE,03-10-2025 00:00:00
152,9,399,51,TRUE,11-01-2026 00:00:00
153,4,400,48,FALSE,20-12-2024 00:00:00
154,2,403,54,True,02-04-2025 00:00:00
155,5,408,17,TRUE,19-07-2024 00:00:00
156,9,410,24,false,25-05-2025 00:00:00
157,9,411,52,TRUE,09-12-2025 00:00:00
158,5,419,30,,25-01-2025 00:00:00
159,8,420,36,0,10-10-2025 00:00:00
160,4,421,28,FALSE,04-04-2025 00:00:00
161,1,423,49,FALSE,26-11-2024 00:00:00
162,6,424,42,false,13-08-2024 00:00:00
163,8,428,29,True,30-10-2024 00:00:00
164,3,430,19,false,15-04-2025 00:00:00
165,7,432,35,false,01-07-2025 00:00:00
166,3,435,28,True,24-11-2025 00:00:00
167,4,438,39,True,04-07-2024 00:00:00
168,5,440,53,,12-03-2024 00:00:00
169,10,441,36,1,08-01-2025 00:00:00
170,9,443,13,false,28-06-2024 00:00:00
171,1,444,35,0,08-10-2025 00:00:00
172,3,453,14,FALSE,10-06-2024 00:00:00
173,10,456,14,True,18-06-2026 00:00:00
174,8,457,39,TRUE,12-08-2024 00:00:00
175,2,460,52,FALSE,08-05-2025 00:00:00
176,7,461,53,TRUE,14-06-2026 00:00:00
177,2,462,30,FALSE,17-05-2024 00:00:00
178,6,465,47,1,09-10-2024 00:00:00
179,8,467,9,TRUE,12-04-2024 00:00:00
180,3,470,52,TRUE,25-03-2025 00:00:00
181,9,478,38,,02-05-2025 00:00:00
182,4,479,29,0,23-01-2026 00:00:00
183,6,481,56,TRUE,11-08-2025 00:00:00
184,2,483,3,,16-04-2025 00:00:00
185,9,484,24,True,30-08-2024 00:00:00
186,7,485,4,True,08-01-2025 00:00:00
187,1,487,9,1,07-03-2025 00:00:00
188,8,489,55,TRUE,05-04-2025 00:00:00
189,4,490,60,TRUE,12-08-2025 00:00:00
190,10,493,50,,04-10-2024 00:00:00
191,8,495,28,True,25-02-2024 00:00:00
192,9,499,24,1,13-11-2024 00:00:00
193,5,504,21,FALSE,11-07-2024 00:00:00
194,8,506,45,FALSE,26-08-2024 00:00:00
195,7,508,50,TRUE,04-05-2024 00:00:00
196,9,517,11,True,11-03-2024 00:00:00
197,2,520,40,1,05-11-2025 00:00:00
198,4,521,49,0,02-02-2024 00:00:00
199,7,523,19,,24-03-2026 00:00:00
200,8,527,27,True,18-11-2024 00:00:00
201,1,529,,0,02-09-2025 00:00:00
202,4,534,4,1,12-01-2024 00:00:00
203,10,535,11,1,30-11-2024 00:00:00
204,2,536,20,FALSE,18-03-2025 00:00:00
205,9,537,9,TRUE,25-09-2024 00:00:00
206,4,538,14,false,22-09-2025 00:00:00
207,2,539,48,True,18-11-2025 00:00:00
208,1,541,1,TRUE,27-09-2025 00:00:00
209,9,547,48,True,28-07-2025 00:00:00
210,6,548,43,1,29-12-2024 00:00:00
211,10,550,46,FALSE,03-03-2025 00:00:00
212,4,554,2,false,14-05-2024 00:00:00
213,7,556,55,,30-04-2025 00:00:00
214,7,557,30,1,30-01-2026 00:00:00
215,9,560,39,0,09-02-2025 00:00:00
216,5,561,58,,11-02-2025 00:00:00
217,5,564,52,0,09-12-2025 00:00:00
218,4,570,19,,08-07-2024 00:00:00
219,9,572,28,false,11-04-2025 00:00:00
220,4,577,26,True,01-05-2024 00:00:00
221,6,578,51,True,27-07-2025 00:00:00
222,5,579,45,0,02-06-2025 00:00:00
223,3,581,24,FALSE,04-06-2026 00:00:00
224,3,583,55,,10-05-2026 00:00:00
225,4,585,53,,05-11-2024 00:00:00
226,2,587,50,TRUE,23-11-2025 00:00:00
227,2,588,27,false,23-04-2025 00:00:00
228,9,592,6,TRUE,21-02-2024 00:00:00
229,2,594,52,0,04-08-2025 00:00:00
230,4,595,46,True,27-05-2024 00:00:00
231,1,596,18,True,01-05-2025 00:00:00
232,2,602,16,,16-04-2026 00:00:00
233,5,603,7,,22-09-2025 00:00:00
234,2,608,16,1,27-05-2024 00:00:00
235,6,611,48,false,08-02-2024 00:00:00
236,10,613,2,,19-09-2025 00:00:00
237,2,616,,1,15-09-2024 00:00:00
238,3,617,15,FALSE,26-01-2026 00:00:00
239,8,619,22,True,03-08-2024 00:00:00
240,1,625,12,TRUE,10-04-2024 00:00:00
241,8,636,50,FALSE,25-10-2025 00:00:00
242,2,637,33,1,13-05-2025 00:00:00
243,10,642,35,TRUE,17-04-2026 00:00:00
244,3,644,8,TRUE,06-05-2026 00:00:00
245,5,647,48,,11-12-2025 00:00:00
246,4,650,34,FALSE,27-02-2026 00:00:00
247,3,657,9,0,13-08-2024 00:00:00
248,10,663,28,1,25-01-2024 00:00:00
249,10,665,24,1,17-03-2026 00:00:00
250,10,670,59,TRUE,30-03-2026 00:00:00
251,3,675,38,,20-08-2024 00:00:00
252,5,681,32,1,15-02-2025 00:00:00
253,4,683,37,0,21-11-2024 00:00:00
254,8,685,10,TRUE,02-04-2026 00:00:00
255,2,686,5,1,31-07-2024 00:00:00
256,2,687,19,0,23-02-2025 00:00:00
257,5,688,26,FALSE,17-05-2025 00:00:00
258,3,696,34,1,11-08-2024 00:00:00
259,9,697,14,FALSE,03-03-2025 00:00:00
260,8,698,4,FALSE,19-06-2025 00:00:00
261,3,699,28,,05-12-2025 00:00:00
262,8,700,20,True,13-02-2024 00:00:00
263,2,701,44,True,14-11-2025 00:00:00
264,4,703,49,,06-08-2025 00:00:00
265,2,704,6,,31-05-2025 00:00:00
266,6,706,59,1,24-07-2025 00:00:00
267,5,707,22,True,19-08-2024 00:00:00
268,1,708,7,1,19-11-2025 00:00:00
269,6,720,11,0,08-04-2026 00:00:00
270,5,723,40,TRUE,13-12-2025 00:00:00
271,7,726,13,,01-10-2025 00:00:00
272,4,728,23,FALSE,15-02-2025 00:00:00
273,7,731,40,0,30-05-2026 00:00:00
274,9,733,30,0,08-03-2025 00:00:00
275,1,734,51,,12-03-2026 00:00:00
276,6,735,15,1,10-02-2025 00:00:00
277,4,737,,FALSE,11-08-2024 00:00:00
278,6,739,47,TRUE,02-01-2026 00:00:00
279,5,740,,True,28-01-2025 00:00:00
280,8,741,32,,09-01-2024 00:00:00
281,6,743,17,FALSE,16-06-2026 00:00:00
282,8,744,18,,19-02-2026 00:00:00
283,1,748,13,1,25-07-2025 00:00:00
284,3,749,47,FALSE,14-02-2025 00:00:00
285,7,750,19,TRUE,27-04-2026 00:00:00
286,8,751,54,,13-05-2024 00:00:00
287,3,752,6,FALSE,24-10-2024 00:00:00
288,7,758,2,True,16-06-2026 00:00:00
289,8,761,24,,27-12-2025 00:00:00
290,5,769,45,1,31-03-2026 00:00:00
291,9,772,53,FALSE,26-03-2024 00:00:00
292,5,775,3,TRUE,24-03-2024 00:00:00
293,1,778,3,false,08-02-2025 00:00:00
294,2,786,44,,29-09-2025 00:00:00
295,6,787,46,FALSE,25-08-2024 00:00:00
296,5,788,5,True,02-03-2025 00:00:00
297,10,793,42,True,24-12-2025 00:00:00
298,8,795,37,True,25-05-2025 00:00:00
299,4,796,6,false,15-12-2024 00:00:00
300,4,797,15,false,10-02-2026 00:00:00
301,6,798,27,1,29-03-2025 00:00:00
302,3,799,41,0,03-03-2024 00:00:00
303,7,800,39,,28-11-2025 00:00:00
304,7,803,6,,16-06-2025 00:00:00
305,6,805,36,TRUE,04-10-2025 00:00:00
306,4,807,8,,02-11-2024 00:00:00
307,2,809,32,0,04-03-2024 00:00:00
308,2,813,52,1,08-08-2025 00:00:00
309,9,823,24,True,19-10-2024 00:00:00
310,8,828,51,0,16-05-2026 00:00:00
311,10,830,54,0,09-05-2026 00:00:00
312,1,831,,True,26-01-2026 00:00:00
313,4,833,25,1,15-12-2024 00:00:00
314,7,834,21,0,14-12-2025 00:00:00
315,2,836,56,,14-01-2025 00:00:00
316,4,840,14,True,10-12-2025 00:00:00
317,4,855,,TRUE,15-12-2024 00:00:00
318,8,865,9,True,07-03-2024 00:00:00
319,9,868,41,false,17-05-2024 00:00:00
320,1,870,53,1,28-03-2025 00:00:00
321,9,871,3,false,15-03-2026 00:00:00
322,10,879,25,,10-08-2025 00:00:00
323,9,882,12,,24-06-2024 00:00:00
324,7,883,15,false,30-01-2026 00:00:00
325,8,886,16,1,12-08-2025 00:00:00
326,2,888,,0,16-12-2025 00:00:00
327,6,891,27,0,26-05-2026 00:00:00
328,2,892,1,false,15-07-2025 00:00:00
329,2,896,20,0,07-03-2025 00:00:00
330,7,899,38,false,14-04-2025 00:00:00
331,7,902,26,FALSE,17-10-2025 00:00:00
332,4,904,35,,19-01-2025 00:00:00
333,9,909,,0,12-03-2025 00:00:00
334,8,910,30,True,05-10-2024 00:00:00
335,8,913,9,FALSE,19-01-2025 00:00:00
336,8,915,12,TRUE,18-10-2025 00:00:00
337,4,917,22,1,05-02-2024 00:00:00
338,10,919,9,false,14-06-2025 00:00:00
339,2,922,30,FALSE,03-03-2026 00:00:00
340,10,925,49,True,08-06-2026 00:00:00
341,8,926,13,TRUE,10-01-2024 00:00:00
342,6,929,13,0,04-01-2024 00:00:00
343,4,931,37,TRUE,15-10-2025 00:00:00
344,10,932,50,false,13-02-2025 00:00:00
345,3,934,48,0,26-03-2026 00:00:00
346,2,939,11,True,01-04-2024 00:00:00
347,6,943,27,TRUE,29-05-2025 00:00:00
348,1,944,54,FALSE,05-06-2024 00:00:00
349,7,945,9,FALSE,14-04-2026 00:00:00
350,7,946,,,24-06-2025 00:00:00
351,10,950,33,0,01-06-2024 00:00:00
352,10,951,16,false,30-10-2025 00:00:00
353,1,953,1,,09-08-2025 00:00:00
354,10,954,56,True,11-04-2024 00:00:00
355,8,962,36,True,17-09-2024 00:00:00
356,10,964,,,20-03-2024 00:00:00
357,6,965,44,True,07-03-2026 00:00:00
358,3,969,38,1,22-01-2025 00:00:00
359,1,975,9,false,04-04-2025 00:00:00
360,4,977,26,,21-05-2026 00:00:00
361,3,986,34,0,27-05-2025 00:00:00
362,1,987,56,,06-05-2025 00:00:00
363,2,988,32,,18-12-2025 00:00:00
364,10,989,54,True,12-07-2024 00:00:00
365,7,990,,1,23-09-2025 00:00:00
366,7,993,23,false,15-09-2024 00:00:00
367,7,995,30,false,18-04-2024 00:00:00
368,9,1001,8,false,14-02-2025 00:00:00
369,1,1003,13,false,31-08-2024 00:00:00
370,9,1004,21,,02-01-2024 00:00:00
371,3,1005,33,True,18-09-2025 00:00:00
372,1,1006,45,0,04-11-2025 00:00:00
373,10,1007,3,0,30-07-2024 00:00:00
374,10,1009,24,false,16-01-2026 00:00:00
375,10,1012,16,1,22-03-2026 00:00:00
376,2,1014,47,1,24-04-2026 00:00:00
377,2,1017,22,TRUE,11-09-2025 00:00:00
378,3,1020,53,True,26-11-2024 00:00:00
379,4,1025,33,0,03-02-2026 00:00:00
380,2,1027,3,TRUE,05-08-2025 00:00:00
381,7,1028,18,false,30-03-2025 00:00:00
382,3,1029,38,TRUE,13-06-2024 00:00:00
383,5,1030,44,True,09-03-2025 00:00:00
384,7,1031,27,,27-02-2024 00:00:00
385,10,1034,27,false,13-02-2026 00:00:00
386,10,1035,49,false,15-02-2024 00:00:00
387,7,1037,13,FALSE,13-04-2024 00:00:00
388,3,1041,,0,04-10-2025 00:00:00
389,2,1042,10,1,17-11-2024 00:00:00
390,6,1045,23,false,15-05-2026 00:00:00
391,7,1047,38,0,16-08-2024 00:00:00
392,5,1052,56,FALSE,24-03-2024 00:00:00
393,6,1054,42,TRUE,02-02-2025 00:00:00
394,1,1058,41,false,13-04-2026 00:00:00
395,1,1066,24,FALSE,20-03-2026 00:00:00
396,9,1069,46,FALSE,08-10-2025 00:00:00
397,10,1071,35,false,21-03-2024 00:00:00
398,3,1074,54,1,25-09-2024 00:00:00
399,3,1076,2,TRUE,11-01-2024 00:00:00
400,8,1077,47,false,06-09-2025 00:00:00
401,9,1078,53,0,09-08-2024 00:00:00
402,5,1079,20,,08-05-2025 00:00:00
403,7,1080,42,True,13-09-2024 00:00:00
404,7,1084,49,0,27-04-2024 00:00:00
405,4,1093,38,FALSE,31-03-2024 00:00:00
406,2,1101,40,FALSE,09-03-2025 00:00:00
407,10,1106,11,,01-09-2024 00:00:00
408,5,1108,42,1,06-04-2024 00:00:00
409,6,1112,53,1,17-05-2025 00:00:00
410,1,1113,59,false,04-11-2024 00:00:00
411,9,1116,52,,28-09-2024 00:00:00
412,5,1119,40,0,25-07-2025 00:00:00
413,2,1120,50,,15-05-2025 00:00:00
414,9,1121,33,false,29-03-2024 00:00:00
415,6,1122,4,1,11-04-2026 00:00:00
416,10,1123,7,True,26-06-2024 00:00:00
417,1,1129,40,1,26-02-2024 00:00:00
418,10,1134,49,True,29-05-2026 00:00:00
419,6,1139,50,True,26-05-2026 00:00:00
420,8,1141,13,false,28-04-2025 00:00:00
421,2,1143,45,false,26-11-2025 00:00:00
422,4,1146,2,1,20-03-2025 00:00:00
423,10,1150,48,false,04-12-2024 00:00:00
424,4,1153,51,TRUE,22-02-2026 00:00:00
425,5,1156,14,FALSE,22-01-2024 00:00:00
426,2,1158,12,TRUE,11-01-2025 00:00:00
427,1,1159,1,1,26-02-2025 00:00:00
428,4,1161,13,TRUE,12-05-2024 00:00:00
429,10,1166,60,TRUE,03-11-2024 00:00:00
430,7,1167,10,0,30-03-2025 00:00:00
431,8,1170,21,TRUE,09-08-2025 00:00:00
432,5,1175,13,True,22-09-2024 00:00:00
433,9,1176,17,false,16-08-2025 00:00:00
434,1,1177,32,1,07-07-2025 00:00:00
435,6,1178,30,FALSE,15-01-2025 00:00:00
436,9,1183,9,True,07-10-2025 00:00:00
437,8,1184,52,FALSE,02-10-2024 00:00:00
438,6,1186,44,FALSE,01-06-2025 00:00:00
439,7,1191,54,,04-09-2024 00:00:00
440,6,1192,44,1,22-02-2025 00:00:00
441,9,1195,11,TRUE,16-08-2025 00:00:00
442,3,1197,28,FALSE,21-10-2024 00:00:00
443,8,1200,30,1,09-05-2024 00:00:00
444,6,1202,13,TRUE,03-06-2025 00:00:00
445,2,1209,8,false,05-03-2025 00:00:00
446,4,1211,38,1,24-10-2024 00:00:00
447,10,1214,6,false,21-01-2024 00:00:00
448,9,1217,2,false,28-05-2025 00:00:00
449,8,1226,9,false,10-01-2026 00:00:00
450,2,1229,13,FALSE,11-03-2025 00:00:00
451,7,1230,53,FALSE,23-06-2024 00:00:00
452,5,1232,55,,02-12-2025 00:00:00
453,6,1233,24,0,17-06-2024 00:00:00
454,2,1235,36,FALSE,13-10-2025 00:00:00
455,10,1238,12,TRUE,11-09-2025 00:00:00
456,9,1240,55,True,11-03-2025 00:00:00
457,3,1242,2,FALSE,29-12-2025 00:00:00
458,7,1244,9,TRUE,02-07-2024 00:00:00
459,8,1246,11,True,14-02-2024 00:00:00
460,10,1247,47,1,17-05-2025 00:00:00
461,3,1252,25,True,14-11-2024 00:00:00
462,8,1253,35,TRUE,29-04-2024 00:00:00
463,4,1254,27,,16-04-2025 00:00:00
464,9,1259,52,1,21-09-2024 00:00:00
465,1,1261,59,false,07-03-2025 00:00:00
466,7,1264,11,True,03-03-2026 00:00:00
467,10,1265,17,True,22-07-2024 00:00:00
468,4,1269,45,0,31-01-2025 00:00:00
469,7,1270,49,FALSE,14-03-2024 00:00:00
470,8,1272,29,FALSE,15-02-2024 00:00:00
471,5,1273,35,1,31-01-2025 00:00:00
472,8,1274,46,True,20-12-2024 00:00:00
473,2,1276,36,0,06-04-2026 00:00:00
474,5,1279,33,1,04-05-2024 00:00:00
475,9,1280,43,FALSE,02-07-2024 00:00:00
476,2,1281,46,0,19-01-2026 00:00:00
477,5,1282,51,false,14-04-2025 00:00:00
478,10,1285,20,,06-11-2024 00:00:00
479,7,1287,29,1,20-01-2024 00:00:00
480,3,1290,29,0,24-05-2026 00:00:00
481,6,1301,9,TRUE,28-06-2024 00:00:00
482,8,1304,42,false,13-03-2024 00:00:00
483,1,1305,36,FALSE,07-05-2025 00:00:00
484,7,1306,51,false,16-04-2024 00:00:00
485,7,1307,27,,25-05-2024 00:00:00
486,5,1308,30,false,29-10-2024 00:00:00
487,8,1310,7,0,20-11-2025 00:00:00
488,7,1312,19,TRUE,25-09-2025 00:00:00
489,9,1316,47,True,12-06-2026 00:00:00
490,3,1317,43,1,21-08-2024 00:00:00
491,2,1321,55,True,07-03-2026 00:00:00
492,9,1323,56,True,15-12-2024 00:00:00
493,6,1326,49,TRUE,28-04-2025 00:00:00
494,4,1328,50,,28-04-2025 00:00:00
495,5,1330,57,false,18-04-2026 00:00:00
496,7,1331,37,True,25-07-2025 00:00:00
497,8,1333,28,0,13-10-2024 00:00:00
498,8,1334,7,,06-02-2026 00:00:00
499,5,1340,32,1,07-12-2024 00:00:00
500,6,1345,31,,05-06-2024 00:00:00
501,9,1346,31,TRUE,11-03-2024 00:00:00
502,6,1352,7,,06-05-2026 00:00:00
503,1,1353,43,FALSE,17-01-2026 00:00:00
504,4,1362,24,TRUE,31-01-2026 00:00:00
505,6,1364,19,0,18-01-2025 00:00:00
506,9,1368,46,TRUE,05-03-2024 00:00:00
507,2,1369,53,FALSE,17-07-2025 00:00:00
508,8,1374,46,TRUE,19-05-2024 00:00:00
509,10,1375,40,1,09-03-2024 00:00:00
510,1,1380,7,0,08-05-2026 00:00:00
511,7,1382,26,True,15-10-2025 00:00:00
512,6,1383,42,,13-11-2025 00:00:00
513,7,1386,6,TRUE,05-01-2026 00:00:00
514,7,1387,48,TRUE,16-11-2025 00:00:00
515,5,1388,40,TRUE,18-04-2026 00:00:00
516,5,1389,28,FALSE,02-08-2024 00:00:00
517,1,1403,40,false,25-09-2025 00:00:00
518,6,1406,47,0,06-08-2025 00:00:00
519,1,1407,21,false,24-02-2024 00:00:00
520,7,1411,8,,20-08-2024 00:00:00
521,9,1412,1,0,30-11-2025 00:00:00
522,7,1413,57,1,29-01-2024 00:00:00
523,4,1414,49,True,09-04-2024 00:00:00
524,8,1419,1,1,11-04-2024 00:00:00
525,9,1424,16,TRUE,04-06-2025 00:00:00
526,6,1425,50,,01-01-2026 00:00:00
527,1,1426,2,FALSE,06-11-2025 00:00:00
528,5,1429,29,True,11-01-2024 00:00:00
529,6,1439,15,0,26-05-2024 00:00:00
530,7,1445,57,false,07-01-2025 00:00:00
531,10,1451,54,True,27-06-2025 00:00:00
532,10,1453,23,0,01-05-2025 00:00:00
533,4,1455,50,0,10-11-2025 00:00:00
534,1,1456,27,FALSE,05-12-2025 00:00:00
535,10,1457,10,,13-12-2024 00:00:00
536,6,1463,21,True,24-05-2026 00:00:00
537,5,1464,6,,05-04-2025 00:00:00
538,2,1467,49,1,04-05-2024 00:00:00
539,10,1469,31,1,25-04-2025 00:00:00
540,3,1478,31,,09-01-2025 00:00:00
541,4,1482,48,True,17-05-2025 00:00:00
542,10,1483,,FALSE,05-09-2025 00:00:00
543,8,1484,52,TRUE,03-03-2025 00:00:00
544,8,1488,3,,07-03-2026 00:00:00
545,10,1491,18,True,29-10-2024 00:00:00
546,5,1492,48,FALSE,28-07-2024 00:00:00
547,1,1495,24,false,23-02-2024 00:00:00
548,3,1499,19,True,22-04-2026 00:00:00
549,6,1503,52,0,18-08-2025 00:00:00
550,6,1505,48,1,30-11-2024 00:00:00
551,10,1510,27,1,01-01-2024 00:00:00
552,4,1517,19,True,09-04-2026 00:00:00
553,9,1524,39,0,12-08-2025 00:00:00
554,4,1528,1,FALSE,06-11-2024 00:00:00
555,5,1529,,TRUE,31-07-2024 00:00:00
556,7,1533,53,TRUE,14-05-2025 00:00:00
557,8,1535,41,0,20-09-2025 00:00:00
558,6,1538,7,TRUE,22-04-2024 00:00:00
559,3,1540,56,1,15-05-2024 00:00:00
560,2,1543,36,1,14-06-2024 00:00:00
561,7,1545,34,0,15-01-2025 00:00:00
562,9,1555,8,false,08-10-2025 00:00:00
563,8,1560,48,FALSE,15-12-2024 00:00:00
564,9,1564,59,false,10-05-2024 00:00:00
565,1,1565,26,0,11-12-2024 00:00:00
566,6,1566,32,,04-06-2024 00:00:00
567,9,1567,40,TRUE,18-01-2024 00:00:00
568,2,1569,,FALSE,01-09-2024 00:00:00
569,8,1571,6,,19-03-2026 00:00:00
570,3,1572,15,FALSE,07-09-2025 00:00:00
571,6,1573,1,,07-10-2024 00:00:00
572,10,1576,44,FALSE,09-04-2026 00:00:00
573,1,1579,49,1,01-11-2025 00:00:00
574,8,1583,41,,16-05-2026 00:00:00
575,8,1588,56,TRUE,07-02-2026 00:00:00
576,5,1591,12,false,24-02-2024 00:00:00
577,8,1592,,1,08-06-2026 00:00:00
578,7,1597,53,false,07-02-2025 00:00:00
